Cpu0  :  0.7%us,  1.5%sy,  0.1%ni, 97.3%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.5%sy,  0.1%ni, 97.3%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.5%sy,  0.1%ni, 97.2%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.5%sy,  0.1%ni, 97.2%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.6%sy,  0.1%ni, 97.2%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.6%sy,  0.1%ni, 97.2%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.6%sy,  0.1%ni, 97.2%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.6%sy,  0.1%ni, 97.1%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.6%sy,  0.1%ni, 97.1%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.6%sy,  0.1%ni, 97.1%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.6%sy,  0.1%ni, 97.1%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.7%sy,  0.1%ni, 97.1%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.7%sy,  0.1%ni, 97.1%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.7%sy,  0.1%ni, 97.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.7%sy,  0.1%ni, 97.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.7%sy,  0.1%ni, 97.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.7%sy,  0.1%ni, 97.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.8%sy,  0.1%ni, 97.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.8%sy,  0.1%ni, 96.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.8%sy,  0.1%ni, 96.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.8%sy,  0.1%ni, 96.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.8%sy,  0.1%ni, 96.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.7%us,  1.8%sy,  0.1%ni, 96.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
