Cpu0  :  0.4%us,  0.3%sy,  0.1%ni, 98.6%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.3%sy,  0.1%ni, 98.6%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.3%sy,  0.1%ni, 98.6%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.4%sy,  0.1%ni, 98.5%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.4%sy,  0.1%ni, 98.5%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.4%sy,  0.1%ni, 98.5%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.4%sy,  0.1%ni, 98.5%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.4%sy,  0.1%ni, 98.4%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.5%sy,  0.1%ni, 98.4%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.5%sy,  0.1%ni, 98.4%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.5%sy,  0.1%ni, 98.4%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.5%sy,  0.1%ni, 98.3%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.5%sy,  0.1%ni, 98.3%id,  0.6%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.6%sy,  0.1%ni, 98.3%id,  0.5%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.6%sy,  0.1%ni, 98.3%id,  0.5%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.6%sy,  0.1%ni, 98.2%id,  0.5%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.6%sy,  0.1%ni, 98.2%id,  0.5%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.6%sy,  0.1%ni, 98.2%id,  0.5%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.7%sy,  0.1%ni, 98.2%id,  0.5%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.7%sy,  0.1%ni, 98.1%id,  0.5%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.7%sy,  0.1%ni, 98.1%id,  0.5%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.7%sy,  0.1%ni, 98.1%id,  0.5%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.4%us,  0.7%sy,  0.1%ni, 98.1%id,  0.5%wa,  0.0%hi,  0.0%si,  0.1%st
