Cpu0  :  0.9%us,  2.2%sy,  0.1%ni, 96.4%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.9%us,  2.2%sy,  0.1%ni, 96.3%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.9%us,  2.2%sy,  0.1%ni, 96.3%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.9%us,  2.2%sy,  0.1%ni, 96.3%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.9%us,  2.2%sy,  0.1%ni, 96.3%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.9%us,  2.3%sy,  0.1%ni, 96.3%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.9%us,  2.3%sy,  0.1%ni, 96.2%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.9%us,  2.3%sy,  0.1%ni, 96.2%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  0.9%us,  2.3%sy,  0.1%ni, 96.2%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  0.9%us,  2.3%sy,  0.1%ni, 96.2%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  0.9%us,  2.3%sy,  0.1%ni, 96.1%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  0.9%us,  2.3%sy,  0.1%ni, 96.1%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  0.9%us,  2.4%sy,  0.1%ni, 96.1%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  0.9%us,  2.4%sy,  0.1%ni, 96.1%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  0.9%us,  2.4%sy,  0.1%ni, 96.1%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  0.9%us,  2.4%sy,  0.1%ni, 96.0%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.4%sy,  0.1%ni, 96.0%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.4%sy,  0.1%ni, 96.0%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.4%sy,  0.1%ni, 96.0%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.5%sy,  0.1%ni, 96.0%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.5%sy,  0.1%ni, 95.9%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.5%sy,  0.1%ni, 95.9%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.5%sy,  0.1%ni, 95.9%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
