1495577939.599605,47
1495577939.659351,105
1495577939.687612,130
1495577939.715205,169
1495577939.742393,187
1495577939.769297,191
1495577939.796244,202
1495577939.822678,213
1495577939.849861,216
1495577939.876007,203
1495577939.903728,218
1495577939.929883,194
1495577939.956793,187
1495577939.983900,185
1495577940.011448,207
1495577940.040790,192
1495577940.070684,190
1495577940.099154,207
1495577940.127057,199
1495577940.154580,187
1495577940.181202,191
1495577940.209814,217
1495577940.237290,188
1495577940.264708,178
1495577940.292035,203
1495577940.318871,204
1495577940.345686,194
1495577940.372845,194
1495577940.399883,202
1495577940.428469,192
1495577940.455759,190
1495577940.482936,190
1495577940.509863,179
1495577940.536406,196
1495577940.562729,192
1495577940.594625,191
1495577940.625854,195
1495577940.661651,189
1495577940.690619,204
1495577940.720202,185
1495577940.749611,195
1495577940.780903,199
1495577940.810663,188
1495577940.840705,193
1495577940.869079,196
1495577940.898239,201
1495577940.927369,195
1495577940.955491,197
1495577940.984284,188
1495577941.011265,198
1495577941.039017,191
1495577941.069751,202
1495577941.099791,198
1495577941.132526,201
1495577941.163406,188
1495577941.193100,198
1495577941.221619,190
1495577941.253750,180
1495577941.283236,185
1495577941.313368,195
1495577941.343150,197
1495577941.372959,197
1495577941.402716,190
1495577941.431810,194
1495577941.462066,198
1495577941.489596,193
1495577941.517899,200
1495577941.545705,186
1495577941.573659,185
1495577941.602207,196
1495577941.631515,209
1495577941.661284,210
1495577941.690824,205
1495577941.719655,186
1495577941.750681,190
1495577941.783173,199
1495577941.814370,184
1495577941.850926,188
1495577941.880542,193
1495577941.909911,189
1495577941.938378,197
1495577941.965290,185
1495577941.992842,199
1495577942.027284,183
1495577942.054901,188
1495577942.082533,198
1495577942.108956,180
1495577942.137142,188
1495577942.164413,193
1495577942.192114,198
1495577942.219568,197
1495577942.248408,199
1495577942.275953,196
1495577942.304959,192
1495577942.332470,192
1495577942.359793,192
1495577942.387112,190
1495577942.415049,187
1495577942.442337,186
1495577942.469710,185
1495577942.498371,193
1495577942.526256,193
1495577942.554270,202
1495577942.581634,197
1495577942.609324,195
1495577942.637062,206
1495577942.663964,189
1495577942.691262,188
1495577942.719080,200
1495577942.746730,193
1495577942.774427,192
1495577942.802045,197
1495577942.829472,185
1495577942.857441,198
1495577942.885086,195
1495577942.912032,195
1495577942.939088,190
1495577942.965841,183
1495577942.994952,181
1495577943.024954,186
1495577943.054809,203
1495577943.086388,205
1495577943.116457,200
1495577943.144826,197
1495577943.174892,179
1495577943.201954,189
1495577943.228604,185
1495577943.256870,196
1495577943.284463,190
1495577943.311508,186
1495577943.338885,186
1495577943.366593,184
1495577943.393508,193
1495577943.420902,184
1495577943.448166,198
1495577943.475438,190
1495577943.503047,192
1495577943.531940,188
1495577943.559402,197
1495577943.587295,194
1495577943.616048,196
1495577943.643036,190
1495577943.672012,180
1495577943.701122,187
1495577943.730426,186
1495577943.759079,196
1495577943.787425,177
1495577943.815674,185
