Cpu0  :  1.0%us,  2.5%sy,  0.1%ni, 95.8%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.5%sy,  0.1%ni, 95.8%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.5%sy,  0.1%ni, 95.8%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.6%sy,  0.1%ni, 95.8%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.0%us,  2.6%sy,  0.1%ni, 95.8%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.6%sy,  0.1%ni, 95.7%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.6%sy,  0.1%ni, 95.7%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.6%sy,  0.1%ni, 95.7%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.6%sy,  0.1%ni, 95.7%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.6%sy,  0.1%ni, 95.7%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.7%sy,  0.1%ni, 95.6%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.7%sy,  0.1%ni, 95.6%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.7%sy,  0.1%ni, 95.6%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.7%sy,  0.1%ni, 95.6%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.7%sy,  0.1%ni, 95.6%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.7%sy,  0.1%ni, 95.5%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.7%sy,  0.1%ni, 95.5%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.8%sy,  0.1%ni, 95.5%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.8%sy,  0.1%ni, 95.5%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.8%sy,  0.1%ni, 95.5%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.8%sy,  0.1%ni, 95.4%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.8%sy,  0.1%ni, 95.4%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.8%sy,  0.1%ni, 95.4%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.1%us,  2.8%sy,  0.1%ni, 95.4%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
